Brand,Model,Type,Vas [L],Qes,Nominal diameter [mm],Nominal diameter [″],URL,Path_TS,Path_FRD,Fs_Hz,Qms,Qts,Re_ohm,Z_ohm,Le_mH,Le_10k_mH,Sd_cm2,Mms_g,Cms_uN,Vas_L,Rms,SPL_dB,Power_W,Pmax_W,Diameter_inch,Diameter_mm,VC_d_mm,Xmax_mm,n0_percent,SPL_1W1m_dB,SPL_2V83_dB,P_nom_W,P_max_W,EBP_Hz,Bl_Tm
-,18W-8424G00,Woofer,23.7,0.52,134.0,5.275590551181103,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 18W-8424G00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/scan_speak_18w-8424g00/18W-8424G00 - 0ų R.txt,51.35,3.53,0.45,5.7,,0.48000000000000004,0.27,140.9546,11.4,840.0,23.7,1.0,89.8,50.0,110.0,5.275590551181103,134.0,25.0,2.6000000000000005,0.587,89.8,91.3,50.0,110.0,98.75,6.35
-,18W-8434G00,Woofer,19.23,0.52,133.0,5.236220472440945,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 18W-8434G00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/Scan 18W-8434G00/18W-8434G00 - 0ų R.txt,53.0,3.8,0.46,5.65,,0.44,0.3,138.85865,12.8,700.0,19.23,1.1,89.3,55.0,170.0,5.236220472440945,133.0,32.0,4.2,0.524,89.3,90.8,55.0,170.0,101.92307692307692,6.81
-,18W-8535-01,Woofer,47.6,0.55,139.0,5.472440944881891,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 18W-8535-01.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/Scan 18W-8434G00/18W-8434G00 - 0ų R.txt,32.5,2.4,0.45,5.9,,0.3,0.17,151.66985000000003,16.0,1500.0,47.6,1.4,86.6,70.0,190.0,5.472440944881891,139.0,38.0,5.0,0.283,86.6,88.0,70.0,190.0,59.090909090909086,5.92
-,18W-8542-00,Woofer,28.2,0.43,142.00000000000003,5.590551181102363,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 18W-8542-00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/Scan 18W-8434G00/18W-8434G00 - 0ų R.txt,44.9,1.9,0.35,5.67,,0.23,0.08,158.28740000000002,15.8,800.0,28.2,2.3,89.6,70.0,140.0,5.590551181102363,142.00000000000003,42.0,6.500000000000001,0.566,89.6,91.1,70.0,140.0,104.4186046511628,7.68
-,18W-8542-10,Woofer,29.06,0.41,135.0,5.31496062992126,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 18W-8542-10.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/Scan 18W-8434G00/18W-8434G00 - 0ų R.txt,39.0,1.78,0.33,5.6,,0.21000000000000002,0.07,143.06625,16.6,1000.0,29.06,2.3,88.1,70.0,130.0,5.31496062992126,135.0,42.0,6.500000000000001,0.4,88.1,89.7,70.0,130.0,95.1219512195122,7.45
-,18W-854500,Woofer,33.35,0.34,136.0,5.354330708661418,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 18W-854500.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/Scan 18W-8434G00/18W-8434G00 - 0ų R.txt,35.0,2.22,0.29,5.42,,0.35,0.22,145.1936,18.5,1120.0000000000002,33.35,1.8,88.1,100.0,,5.354330708661418,136.0,42.0,6.500000000000001,0.4,88.1,89.8,100.0,,102.94117647058823,8.05
-,18W8545K00,Woofer,40.25,0.35,139.0,5.472440944881891,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 18W8545K00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/scan_speak_18w-8545k00/18W-8545K00 - 0ų R.txt,32.5,4.9,0.33,5.4,,0.23,0.35,151.66985000000003,19.400000000000002,1240.0,40.25,0.8,87.9,100.0,200.0,5.472440944881891,139.0,42.0,6.500000000000001,0.376,87.9,89.6,100.0,200.0,92.85714285714286,7.82
-,18WU-4741T00,Woofer,24.61,0.46,139.0,5.472440944881891,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 18WU-4741T00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/scan_speak_18wu-4741t00/18WU4741T00  - 0ų R.txt,42.0,5.1,0.42,3.25,,0.3,0.1,151.66985000000003,19.0,760.0,24.61,,87.9,80.0,150.0,5.472440944881891,139.0,42.0,9.000000000000002,0.38,87.9,91.8,80.0,150.0,,5.98
-,3FE22,Woofer,1.0600000000000003,0.57,60.0,2.3622047244094486,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 3FE22.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/faital_3fe22/3FE22 - 0ų R.txt,126.0,4.1,0.5,6.35,,0.1,0.14,28.260000000000005,2.2,730.0,1.0600000000000003,0.4,87.2,20.0,40.0,2.3622047244094486,60.0,19.0,1.83,0.354,87.2,88.1,20.0,40.0,221.0526315789474,4.4
-,4E1CS-8,Woofer,1.1800000000000002,0.7,78.0,3.0708661417322833,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 4E1CS-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/sica_4e1cs-8/4E1CS-8 - 0ų R.txt,135.0,2.3,0.54,5.62,,0.19,0.18,47.7594,3.8,370.0,1.1800000000000002,1.4,88.1,70.0,140.0,3.0708661417322833,78.0,25.0,2.2,0.395,88.1,89.6,70.0,140.0,192.85714285714286,5.09
-,4FE32,Woofer,2.1200000000000006,0.71,80.0,3.1496062992125986,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 4FE32.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/faital_-_4fe32/4FE32 - 0ų R.txt,104.0,4.65,0.62,6.45,,0.12000000000000001,0.13,50.24000000000001,3.95,590.0,2.1200000000000006,0.6,87.2,30.0,60.0,3.1496062992125986,80.0,19.0,2.7300000000000004,0.319,87.2,88.1,30.0,60.0,146.47887323943664,4.84
-,4FE35,Woofer,2.43,1.18,81.0,3.188976377952756,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 4FE35.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/faital_4fe35-8/4FE35-8 - 0ų R.txt,102.8,4.49,0.93,6.59,,0.060000000000000005,0.030000000000000002,51.50385000000001,3.7,650.0000000000001,2.43,0.5,85.4,30.0,60.0,3.188976377952756,81.0,19.0,2.7300000000000004,0.213,85.4,86.2,30.0,60.0,87.11864406779661,3.65
-,5.5H1.5CP-8,Woofer,8.11,0.47,102.00000000000001,4.015748031496063,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 5.5H1.5CP-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/sica_5.5h1.5cp-8/5.5H1.5CP-8 - 0ų.txt,50.0,4.1,0.42,6.05,,0.5,0.13,81.67139999999999,11.8,860.0,8.11,0.9,85.3,,,4.015748031496063,102.00000000000001,38.0,4.500000000000001,0.206,85.3,86.5,,,106.38297872340426,6.92
-,5D1CS-4,Woofer,5.66,0.59,103.00000000000001,4.055118110236221,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 5D1CS-4.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/sica_5d1cs-4/5D1CS-4 - 0ų R.txt,76.1,7.0,0.54,3.12,,0.17,0.04,83.28065000000002,7.590000000000001,580.0,5.66,0.5,88.2,60.0,120.0,4.055118110236221,103.00000000000001,25.0,2.5,0.402,88.2,92.2,60.0,120.0,128.98305084745763,4.38
-,5F1.5CP-8,Woofer,8.85,0.31,100.0,3.937007874015748,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 5F1.5CP-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/sica_5f1.5cp-8/5F1.5CP-8 - 0ų R.txt,55.5,3.9,0.29,5.6,,0.46,0.48000000000000004,78.50000000000001,8.1,1020.0000000000001,8.85,1.7,88.7,100.0,200.0,3.937007874015748,100.0,38.0,3.5,0.45999999999999996,88.7,90.3,100.0,200.0,179.03225806451613,7.11
-,5FE120-8,Woofer,5.22,0.46,101.0,3.976377952755906,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 5FE120-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/faital_5fe120-8/5FE120 - 0ų R.txt,67.0,6.6,0.42,5.66,,0.48000000000000004,0.3,80.07785,9.81,580.0,5.22,0.6,87.2,80.0,160.0,3.976377952755906,101.0,32.0,5.25,0.325,87.2,88.7,80.0,160.0,145.65217391304347,7.13
-,5W430,Woofer,12.02,0.46,109.0,4.291338582677166,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 5W430.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/18sound_-_5w430/5W430 - 0ų R.txt,54.0,2.4,0.39,5.78,,0.47,0.25,93.26585,8.9,980.0,12.02,,88.0,80.0,250.0,4.291338582677166,109.0,25.0,6.0,0.392,88.0,89.5,80.0,250.0,117.39130434782608,6.16
-,6.5H1.5CP-8,Woofer,18.48,0.5,127.0,5.0,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 6.5H1.5CP-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/SICA 6.5H1.5CP-8/6.5H1.5CP-8 - 0ų R.txt,48.0,4.6,0.45,5.87,,0.42000000000000004,0.1,126.61265000000002,13.5,810.0000000000001,18.48,0.9,88.0,120.0,240.0,5.0,127.0,38.0,6.0,0.389,88.0,89.2,120.0,240.0,96.0,7.02
-,6D1.5CS-8,Woofer,5.48,0.8,130.0,5.118110236220473,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 6D1.5CS-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/sica_6d1.5cs-8/6D1.5CS-8 - 0ų R.txt,101.0,1.7,0.54,6.14,,0.3,0.1,132.665,11.29,220.0,5.48,4.2,90.4,100.0,200.0,5.118110236220473,130.0,38.0,1.5,0.672,90.4,91.5,100.0,200.0,126.25,7.41
-,6D1.5SL-8,Woofer,3.39,0.65,128.0,5.039370078740157,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 6D1.5SL-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/SICA 6D1.5SL-8/D1.5SL-8 - 0ų R.txt,131.0,2.3,0.51,4.94,,0.2,0.060000000000000005,128.61440000000002,10.2,140.00000000000003,3.39,3.7,92.6,130.0,260.0,5.039370078740157,128.0,38.0,1.5,1.115,92.6,94.7,130.0,260.0,201.53846153846152,7.99
-,6FE200,Woofer,3.43,0.62,128.0,5.039370078740157,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 6FE200.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/faital_6fe200/6FE200 - 0ų R.txt,134.3,11.1,0.59,5.93,,0.4,0.25,128.61440000000002,9.6,150.0,3.43,0.7,93.2,130.0,260.0,5.039370078740157,128.0,37.0,4.67,1.274,93.2,94.5,130.0,260.0,216.61290322580646,8.8
-,6FE200-4,Woofer,3.8600000000000003,0.48,128.0,5.039370078740157,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 6FE200-4.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/faital_6fe200/6FE200 - 0ų R.txt,126.5,9.8,0.46,3.1,,0.28,0.18,128.61440000000002,9.6,160.0,3.8600000000000003,0.74,94.0,130.0,260.0,5.039370078740157,128.0,37.0,6.42,1.55,94.0,98.1,130.0,260.0,263.5416666666667,7.02
-,6H1.5CP-8,Woofer,14.98,0.42,125.0,4.921259842519685,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 6H1.5CP-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/SICA 6H1.5CP-8/6H1.5CP-8 - 0ų R.txt,49.0,2.7,0.36,5.87,,0.94,0.48000000000000004,122.65625,15.0,700.0,14.98,1.7,88.1,100.0,200.0,4.921259842519685,125.0,38.0,4.7,0.399,88.1,89.5,100.0,200.0,116.66666666666667,8.03
-,830991,Woofer,8.97,0.55,108.0,4.251968503937008,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 830991.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/peerless_hds-p830991/830991 - 0ų.txt,60.5,2.85,0.46,5.95,,0.42000000000000004,0.26,91.56240000000001,9.15,760.0,8.97,1.2,87.5,30.0,60.0,4.251968503937008,108.0,25.73,4.55,0.344,87.5,88.8,30.0,60.0,109.99999999999999,6.13
-,AUDAX HM170C0,Woofer,24.22,0.32,129.0,5.078740157480315,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri AUDAX HM170C0.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/audax_hm170c0/HM170C0 - 0ų R.txt,45.1,7.9,0.31,6.3,,0.25,0.22,130.63185000000001,12.42,1000.0,24.22,0.4,90.3,60.0,120.0,5.078740157480315,129.0,30.0,3.0,0.656,90.3,91.3,60.0,120.0,,8.29
-,B100-8,Woofer,5.0,0.52,80.5,3.1692913385826773,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri B100-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/visaton_b100/B100 - 0ų R.txt,75.2,9.9,0.49,5.76,,0.045,0.030000000000000002,50.86996250000001,3.28,1370.0000000000002,5.0,0.2,88.0,30.0,60.0,3.1692913385826773,80.5,26.000000000000004,1.6,0.389,88.0,89.4,30.0,60.0,144.6153846153846,4.14
-,B110-SP1057,Woofer,12.0,0.35,102.00000000000001,4.015748031496063,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri B110-SP1057.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/kef_b110-sp1057/B110-SP1057 - 0ų R.txt,49.0,1.8,0.29,7.12,,0.8,0.33,81.67139999999999,8.3,1270.0,12.0,1.4,88.0,,50.0,4.015748031496063,102.00000000000001,26.000000000000004,3.0,0.384,88.0,88.4,,50.0,140.0,7.24
-,B80-8,Woofer,0.92,0.78,64.3,2.531496062992126,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri B80-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/visaton_b80-8/B80-8 - 0ų R.txt,123.6,6.48,0.7,6.2,,0.060000000000000005,0.1,32.455746500000004,2.7,610.0,0.92,3.0,85.4,30.0,50.0,2.531496062992126,64.3,25.0,2.2,0.712,85.4,86.5,30.0,50.0,158.46153846153845,4.08
-,CA18RLY,Woofer,38.88,0.53,132.0,5.196850393700788,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri CA18RLY.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/seas_ca18rly/CA18RLY -  0ų R.txt,37.0,2.49,0.44,6.0,,0.5,0.22,136.77839999999998,12.6,1470.0,38.88,1.2,87.6,80.0,250.0,5.196850393700788,132.0,26.000000000000004,5.0,0.354,87.6,88.8,80.0,250.0,69.81132075471697,5.76
-,CAW538,Woofer,8.220000000000002,0.66,110.0,4.330708661417323,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri CAW538.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/morel_caw_538/CAW538 - 0ų R.txt,51.9,2.36,0.52,5.2,,0.49,0.24000000000000002,94.985,14.6,640.0,8.220000000000002,2.0,84.3,150.0,300.0,4.330708661417323,110.0,75.0,3.0,0.166,84.3,86.2,150.0,300.0,78.63636363636363,6.12
-,Ciare CH201,Woofer,8.66,0.52,107.0,4.21259842519685,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri Ciare CH201.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/ciare_ch201/CH201 - 0ų R.txt,52.0,5.6,0.52,6.05,,0.61,0.33,89.87465,12.37,760.0,8.66,0.7,85.2,25.0,50.0,4.21259842519685,107.0,25.4,3.7,0.203,85.2,86.4,25.0,50.0,100.0,6.55
-,Ciare HW161N,Woofer,13.69,0.77,131.0,5.1574803149606305,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri Ciare HW161N.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/CIARE HW161N/HW161N - 0ų.txt,58.9,3.85,0.64,6.19,,0.66,0.3,134.71385,13.700000000000001,530.0000000000001,13.69,2.3,87.5,,180.0,5.1574803149606305,131.0,32.0,5.0,0.346,87.5,88.6,,180.0,76.49350649350649,6.38
-,Ciare HWB130,Woofer,14.79,0.29,105.0,4.133858267716535,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri Ciare HWB130.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/ciare_hwb1300/HWB130 - 0ų R.txt,44.3,4.8,0.27,5.91,,0.7,0.4,86.54625000000001,9.25,1400.0,14.79,0.5,88.4,,,4.133858267716535,105.0,32.0,4.500000000000001,0.422,88.4,89.7,,,152.75862068965517,7.24
-,Ciare HWB160,Woofer,24.29,0.39,133.0,5.236220472440945,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri Ciare HWB160.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/ciare_hwb160/HWB160 - 0ų R.txt,45.59,6.0,0.37,5.87,,0.75,0.41,138.85865,13.69,890.0000000000001,24.29,0.7,89.6,,,5.236220472440945,133.0,32.0,4.500000000000001,0.562,89.6,91.0,,,116.8974358974359,7.68
-,Ciare HWG160,Woofer,27.150000000000002,0.29,133.0,5.236220472440945,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri Ciare HWG160.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/ciare_hwg160/HWG160 - 0ų R.txt,41.34,5.22,0.27,5.86,,0.71,0.35,138.85865,14.9,990.0,27.150000000000002,0.7,90.1,,,5.236220472440945,133.0,38.0,6.500000000000001,0.629,90.1,91.5,,,142.55172413793105,8.84
-,Ciare PWA5.38,Woofer,4.460000000000001,0.47,110.0,4.330708661417323,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri Ciare PWA5.38.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/CIARE PWA5.38/PWA5.38 - 0ų R.txt,81.2,4.5,0.43,5.67,,0.36,0.3,94.985,11.0,370.0,4.460000000000001,1.2,89.0,,250.0,4.330708661417323,110.0,38.0,3.9,0.484,89.0,90.5,,250.0,172.76595744680853,8.23
-,DC160-8,Woofer,29.750000000000004,0.36,133.0,5.236220472440945,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri DC160-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/dayton_audio_dc160-8/DC160-8 - 0ų R.txt,32.8,3.4,0.33,6.61,,1.7,0.8,138.85865,21.6,1090.0,29.750000000000004,1.3,86.5,50.0,100.0,5.236220472440945,133.0,35.0,3.15,0.278,86.5,87.4,50.0,100.0,91.1111111111111,9.04
-,ES180TI-8,Woofer,16.47,0.41,129.0,5.078740157480315,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri ES180TI-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/dayton_audio_es180ti-8/ES180Ti-8 - 0ų R.txt,37.8,5.2,0.38,6.3,,0.85,0.35,130.63185000000001,26.000000000000004,680.0,16.47,1.2,85.3,100.0,200.0,5.078740157480315,129.0,75.0,5.3,0.206,85.3,86.3,100.0,200.0,92.1951219512195,9.74
-,FE103EN,Woofer,4.71,0.45,80.0,3.1496062992125986,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri FE103EN.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/fostex_fe103en/FE103EN - 0ų R.txt,89.5,2.9,0.39,7.46,,0.21000000000000002,0.19,50.24000000000001,2.4,1320.0,4.71,0.5,90.6,5.0,15.0,3.1496062992125986,80.0,20.0,0.6,0.714,90.6,91.0,5.0,15.0,198.88888888888889,4.73
-,FE103NV,Woofer,3.69,0.48,80.0,3.1496062992125986,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri FE103NV.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/fostex_fe103nv/FE103NV - 0ų R.txt,103.5,4.3,0.43,7.46,,0.19,0.13,50.24000000000001,2.29,1030.0,3.69,0.3,91.2,5.0,15.0,3.1496062992125986,80.0,20.0,,0.811,91.2,91.5,5.0,15.0,215.625,4.81
-,FE103SOL,Woofer,4.23,0.55,80.0,3.1496062992125986,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri FE103SOL.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/Fostex FE103-SOL/FE103-SOL - 0ų R.txt,87.7,3.63,0.48,6.4,,0.07,0.04,50.24000000000001,2.78,1180.0,4.23,0.4,89.1,5.0,15.0,3.1496062992125986,80.0,20.0,0.9000000000000001,0.494,89.1,90.0,5.0,15.0,159.45454545454544,4.22
-,FE126En,Woofer,9.59,0.33,92.0,3.6220472440944884,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri FE126En.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/fostex_fe126en/FE126En - 0ų R.txt,76.9,4.1,0.31,6.9,,0.14,0.19,66.44239999999999,2.79,1540.0000000000002,9.59,0.3,93.1,15.0,45.0,3.6220472440944884,92.0,20.0,1.7,1.258,93.1,93.8,15.0,45.0,233.03030303030303,5.31
-,FE126NV,Woofer,6.17,0.43,92.0,3.6220472440944884,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri FE126NV.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/fostex_fe126nv/FE126NV - 0ų.txt,95.7,3.75,0.39,7.0,,0.15,0.18,66.44239999999999,2.8,990.0,6.17,0.4,92.9,15.0,45.0,3.6220472440944884,92.0,20.0,,1.197,92.9,93.5,15.0,45.0,222.55813953488374,5.24
-,FE166NV,Woofer,33.79,0.26,130.0,5.118110236220473,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri FE166NV.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/fostex_fe166nv/FE166NV - 0ų R.txt,53.6,7.38,0.25,7.66,,0.54,0.31,132.665,6.500000000000001,1360.0,33.79,0.3,94.9,22.0,65.0,5.118110236220473,130.0,25.0,,1.905,94.9,95.1,22.0,65.0,206.15384615384616,8.03
-,FE83NV,Woofer,0.88,0.98,61.0,2.4015748031496065,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri FE83NV.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/fostex_fe83nv/FE83NV - 0ų R.txt,160.75,3.9,0.78,6.95,,0.08,0.14,29.209849999999996,1.35,730.0,0.88,0.3,87.6,5.0,15.0,2.4015748031496065,61.0,16.0,,0.354,87.6,88.2,5.0,15.0,164.03061224489795,3.11
-,FE85,Woofer,1.22,0.78,60.0,2.3622047244094486,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri FE85.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/fountek_fe85/FE85 - 0ų R.txt,99.0,2.85,0.61,6.05,,0.07,0.05,28.260000000000005,2.4,1080.0,1.22,0.5,83.7,12.0,24.0,2.3622047244094486,60.0,20.0,1.5,0.144,83.7,84.9,12.0,24.0,126.92307692307692,3.4
-,FF105WK,Woofer,4.66,0.5,81.0,3.188976377952756,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri FF105WK.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/fostex_ff105wk/FF105WK - 0ų R.txt,76.9,6.5,0.46,6.65,,0.13,0.05,51.50385000000001,3.45,1180.0,4.66,0.3,88.2,10.0,30.0,3.188976377952756,81.0,20.0,1.7,0.404,88.2,89.0,10.0,30.0,153.8,4.71
-,FVS165,Woofer,19.65,0.53,133.0,5.236220472440945,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri FVS165.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/res_fvs165/FVS165 - 0ų R.txt,46.0,2.4,0.43,3.37,,0.38,0.19,138.85865,16.63,719.9999999999999,19.65,2.0,87.5,,200.0,5.236220472440945,133.0,32000.0,,0.343,87.5,91.2,,200.0,86.79245283018868,5.53
-,HM170MN0,Woofer,33.0,0.34,125.0,4.921259842519685,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri HM170MN0.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/audax_hm170mn0/HM170MN0 - 0ų R.txt,42.7,4.8,0.32,6.0,,0.64,0.34,122.65625,8.96,1550.0000000000002,33.0,,90.7,,,4.921259842519685,125.0,30.0,3.75,0.719,90.7,91.9,,,,6.51
-,HM170Z18,Woofer,27.91,0.33,125.0,4.921259842519685,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri HM170Z18.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/audax_hm170z18/HM170Z18 - 0ų R.txt,41.85,4.55,0.31,5.9,,0.64,0.34,122.65625,11.03,1310.0000000000002,27.91,,89.9,60.0,120.0,4.921259842519685,125.0,30.0,3.2500000000000004,0.59,89.9,91.1,60.0,120.0,,7.2
-,HW 159,Woofer,23.02,0.77,125.0,4.921259842519685,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri HW 159.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/CIARE HW159/HW159 - 0ų R.txt,56.1,3.03,0.61,6.16,,0.56,0.32,139.0,11.39,710.0,23.02,1.3,89.1,60.0,150.0,4.921259842519685,125.0,25.0,4.500000000000001,0.502,89.1,90.3,60.0,150.0,72.85714285714286,5.65
