Brand	Model	URL	Type	Nominal diameter [″]	Nominal diameter [mm]	SPL 1W [dB]	fs [Hz]	Qms	Qes	Qts	xmax [mm]	Power [W]	Pmax [W]	Z [Ω]	Re [Ω]	Le [mH]	Sd [cm²]	Mms [g]	Mmd [g]	Cms [µm/N]	Vas [L]	Rms [N·s/m]
EASTECH	FSB023040-0401	loudspeakerdatabase.com/EASTECH/FSB023040-0401	Subwoofer	4	102	85.0	82.3	5.32	0.55	0.49	3.2	40	80	4	3.2	0.32	54.7	7.8	7.5	470	2.02	0.76
EASTECH	FSB026001-0401	loudspeakerdatabase.com/EASTECH/FSB026001-0401	Subwoofer	10	254	88.3	31.0	5.64	0.48	0.44	5.0	60	120	4	3.4	1.3	346.4	61.4	56.7	421	71.523	2.14
EASTECH	FSB113030-0800	loudspeakerdatabase.com/EASTECH/FSB113030-0800	Full-range	3	76	83.1	140	3.03	1.18	0.85	1.95	30	60	8	7.3	0.24	29.2	3.1	3	397	0.4801	0.919
EASTECH	FSB132030-0400	loudspeakerdatabase.com/EASTECH/FSB132030-0400	Mid-range	3	76	86.7	174	9.99	0.71	0.66	1.9	20	40	4	3.3	0.1	30.2	2.6	2.5	320	0.42	0.28
EASTECH	FSB224035-0401	loudspeakerdatabase.com/EASTECH/FSB224035-0401	Woofer	3.5	89	86.1	96.1	6.04	0.52	0.48	2.85	30	60	4	3.6	0.22	45.4	5.1	4.9	536	1.5618	0.512
EASTECH	FSB224040-0800	loudspeakerdatabase.com/EASTECH/FSB224040-0800	Woofer	4	102	83.3	69.9	9.54	0.88	0.81	5.0	30	60	8	7.5	0.43	56.8	7	6.7	741	3.3749	0.322
EASTECH	FSB425065-B801	loudspeakerdatabase.com/EASTECH/FSB425065-B801	Subwoofer	6.5	165	88.2	72.6	6.54	0.64	0.58	2.8	50	100	8	7.3	0.99	132.7	16.4	15.3	293	7.2986	1.14
EASTECH	FSB520508-1800	loudspeakerdatabase.com/EASTECH/FSB520508-1800	Woofer	1.5	40	80.3	173	6.34	1.40	1.15	0.8	5	10	8	7.8	0.41	17.4	3.2	3.2	267	0.1144	0.545
EASTECH	FSB521530-3412	loudspeakerdatabase.com/EASTECH/FSB521530-3412	Full-range	3	76	86.8	181	9.22	1.78	1.49	1.0	15	30	4	3.8	0.13	30.2	2.6	2.5	299	0.385	0.319
EASTECH	FSB521540-4808	loudspeakerdatabase.com/EASTECH/FSB521540-4808	Woofer	4	102	84.5	99.0	5.80	0.88	0.77	0.85	15	30	8	6.9	0.32	52.8	6.4	6.1	399	1.573	0.694
EASTECH	FSB522030-3806	loudspeakerdatabase.com/EASTECH/FSB522030-3806	Full-range	3	76	82.2	115	5.11	1.41	1.10	2.85	20	40	8	7.3	0.08	28.3	3.3	3.2	574	0.6495	0.469
EASTECH	FSB523040-4622	loudspeakerdatabase.com/EASTECH/FSB523040-4622	Woofer	4	102	91.2	202	10.65	2.03	1.70	0.05	30	60	6	5.4	0.17	57.4	4.1	3.8	151	0.7048	0.489
EASTECH	FSB523050-5638	loudspeakerdatabase.com/EASTECH/FSB523050-5638	Woofer	5	127	85.8	65.0	7.11	0.65	0.59	3.0	30	60	6	5.8	0.54	76.2	8.4	7.9	720	5.88	0.48
EASTECH	FSB523054-5300	loudspeakerdatabase.com/EASTECH/FSB523054-5300	Subwoofer	5.25	133	84.7	79.3	5.20	1.10	0.91	2.25	30	60	3	2.4	0.42	98.5	16.5	15.8	244	3.3559	1.581
EASTECH	FSB523054-5404	loudspeakerdatabase.com/EASTECH/FSB523054-5404	Subwoofer	5.25	133	84.0	67.0	8.60	0.72	0.67	2.4	30	60	4	3.9	0.51	95.0	19.3	18.6	290	3.74	0.94
EASTECH	FSB523065-6406	loudspeakerdatabase.com/EASTECH/FSB523065-6406	Subwoofer	6.5	165	84.5	72.0	5.39	1.45	1.15	2.5	30	60	4	3.5	0.91	132.7	30.2	29.1	161	4	2.543
EASTECH	FSB523070-7400	loudspeakerdatabase.com/EASTECH/FSB523070-7400	Woofer	7	178	87.2	79.2	5.15	1.60	1.22	5.5	30	60	4	3.7	0.34	165.1	24.6	23.1	164	6.3216	2.383
EASTECH	FSB523070-7402	loudspeakerdatabase.com/EASTECH/FSB523070-7402	Woofer	7	178	88.8	65.7	16.20	0.85	0.81	2.15	5	60	4	3.6	0.35	162.8	15.4	13.9	380	14.24	0.39
EASTECH	FSB523070-7600	loudspeakerdatabase.com/EASTECH/FSB523070-7600	Woofer	7	178	87.5	67.8	8.00	0.97	0.86	5.3	30	60	6	4.7	0.43	165.1	20.8	19.3	265	10.21	1.109
EASTECH	FSB524060-6401	loudspeakerdatabase.com/EASTECH/FSB524060-6401	Subwoofer	6	152	83.4	71.0	6.45	1.09	0.93	4.2	40	80	4	3.5	0.84	130.7	37.3	36.2	140	3.29	2.56
EASTECH	FSB525001-A600	loudspeakerdatabase.com/EASTECH/FSB525001-A600	Woofer	10	254	90.0	56.1	12.93	0.87	0.82	4.65	50	100	6	6.0	1.11	363.1	50.1	45.3	161	30.01	1.365
EASTECH	FSB525065-6430	loudspeakerdatabase.com/EASTECH/FSB525065-6430	Subwoofer	6.5	165	83.7	75.0	5.19	1.01	0.85	4.25	50	100	4	3.5	1.06	128.7	38.1	37	117	2.743	3.48
EASTECH	FSB526054-5300	loudspeakerdatabase.com/EASTECH/FSB526054-5300	Subwoofer	5.25	133	84.7	79.3	5.20	1.10	0.91	2.25	60	120	3	2.4	0.42	98.5	16.5	15.8	244	3.3559	1.581
EASTECH	FSB528065-6406	loudspeakerdatabase.com/EASTECH/FSB528065-6406	Subwoofer	6.5	165	81.5	52.0	8.47	1.01	0.90	7.35	80	100	4	3.3	1.19	128.7	45.7	44.6	200	4.73	1.78
EASTECH	FSB52A001-A800	loudspeakerdatabase.com/EASTECH/FSB52A001-A800	Woofer	10	254	94.0	53.0	4.43	0.43	0.39	2.8	125	250	8	5.9	0.81	369.8	32.2	27.2	273	52.85	2.453
EASTECH	FSB52B002-C802	loudspeakerdatabase.com/EASTECH/FSB52B002-C802	Woofer	12	305	95.4	48.0	3.63	0.51	0.44	4.7	200	400	8	5.8	0.54	551.6	47.2	38.3	230	98.93	3.946
EASTECH	FSB52B505-F800	loudspeakerdatabase.com/EASTECH/FSB52B505-F800	Woofer	15	381	96.8	37.0	4.54	0.36	0.33	5.35	250	500	8	6.0	0.54	754.8	70.6	55.5	341	274.7	3.17
EASTECH	FSB52B518-I081	loudspeakerdatabase.com/EASTECH/FSB52B518-I081	Woofer	18	457	96.6	23.0	13.93	0.26	0.25	6.6	250	500	8	5.5	0.96	1194.6	146.6	117.9	317	640.14	1.544
EASTECH	FSC120500-0400	loudspeakerdatabase.com/EASTECH/FSC120500-0400	Woofer	2.25	57	81.9	150	3.89	2.58	1.55	0.85	5	10	4	3.9	0.07	15.9	1.8	1.8	344	0.1231	0.596
EASTECH	FSD122000-0400	loudspeakerdatabase.com/EASTECH/FSD122000-0400	Subwoofer	4	96	85.6	60.6	2.51	0.47	0.40	2.25	20	40	4	1.9	0.27	81.0	12	11.6	574	5.8396	1.827
EASTECH	FSI510520-2400	loudspeakerdatabase.com/EASTECH/FSI510520-2400	Full-range	2	51	81.0	150	7.01	0.99	0.87	2.0	5	10	4	3.7	0.1	12.6	1.3	1.3	693	0.155	0.196
EASTECH	FSI511030-3404	loudspeakerdatabase.com/EASTECH/FSI511030-3404	Full-range	3	76	83.8	118	4.80	1.08	0.88	1.7	5	10	4	3.0	0.17	30.2	3	2.9	478	0.6163	0.523
EASTECH	FSI511540-4802	loudspeakerdatabase.com/EASTECH/FSI511540-4802	Full-range	4	102	84.2	83.0	5.03	1.47	1.14	3.2	5	10	8	7.4	0.09	54.8	5.5	5.2	670	2.84	0.57
EASTECH	FSI521535-3806	loudspeakerdatabase.com/EASTECH/FSI521535-3806	Full-range	3.5	89	82.2	106	7.36	1.09	0.95	2.9	5	15	8	7.7	0.73	40.7	7.2	7	310	0.74	0.65
EASTECH	FSI521540-4402	loudspeakerdatabase.com/EASTECH/FSI521540-4402	Woofer	4	102	83.9	94.0	17.14	0.78	0.75	2.9	10	20	4	3.6	0.27	50.3	7.2	7	394	0.508	0.25
EASTECH	FSI522054-5602	loudspeakerdatabase.com/EASTECH/FSI522054-5602	Woofer	5.25	133	85.4	55.0	12.08	0.74	0.70	2.95	20	40	6	5.7	0.38	95.0	10.5	9.8	800	10.23	0.3
EASTECH	FSI523070-7414	loudspeakerdatabase.com/EASTECH/FSI523070-7414	Woofer	7	178	88.6	72.0	5.93	0.54	0.50	2.0	30	60	4	3.5	0.59	160.6	25.7	24.2	188	6.855	1.971
EASTECH	FSI523565-6E00	loudspeakerdatabase.com/EASTECH/FSI523565-6E00	Woofer	6.5	165	86.8	57.0	19.87	0.64	0.62	1.45	25	50	14	13.0	2.12	128.7	17.3	16.2	449	10.532	0.312
EASTECH	FSI528540-4800	loudspeakerdatabase.com/EASTECH/FSI528540-4800	Woofer	4	102	85.6	110	14.58	1.92	1.10	1.5	15	30	4	3.5	0.15	55.4	6.5	6.2	324	1.4087	0.307
EASTECH	FSIFD0520-2600	loudspeakerdatabase.com/EASTECH/FSIFD0520-2600	Full-range	2	51	82.4	152	11.82	1.44	1.28	1.1	5	10	6	5.2	0.12	13.9	1.2	1.2	887	0.2409	0.1
EASTECH	FSIFD3617-1400	loudspeakerdatabase.com/EASTECH/FSIFD3617-1400	Full-range	1.5	42	84.9	212	3.82	2.01	1.32	1.8	36	60	4	3.4	0.05	24.4	2.1	2.1	261	0.934	0.752
EASTECH	FSIFD3625-2400	loudspeakerdatabase.com/EASTECH/FSIFD3625-2400	Full-range	2.5	64	85.4	204	5.67	1.48	1.17	1.9	36	72	4	3.4	0.14	22.0	1.8	1.8	320	0.22	0.41
EASTECH	FSIPD1017-0400	loudspeakerdatabase.com/EASTECH/FSIPD1017-0400	Full-range	1.75	44	81.4	163	4.85	0.49	0.44	2.4	10	20	4	3.9	0.1	10.8	1.5	1.5	633	0.1036	0.317
EASTECH	FSISD5080-8400	loudspeakerdatabase.com/EASTECH/FSISD5080-8400	Subwoofer	8	203	86.5	45.0	5.85	0.50	0.46	5.4	50	100	4	3.4	1.24	201.1	47.7	45.6	253	14.47	2.35
EASTECH	FSIWD5080-8400	loudspeakerdatabase.com/EASTECH/FSIWD5080-8400	Subwoofer	8	203	88.3	60.8	6.53	0.52	0.48	4.15	50	100	4	3.3	1.02	203.6	40.6	38.4	169	9.9055	2.375
EASTECH	FSIWD6065-6400	loudspeakerdatabase.com/EASTECH/FSIWD6065-6400	Subwoofer	6.5	165	83.5	59.6	6.30	0.95	0.83	3.75	60	100	4	3.4	0.91	132.7	34.3	33.2	200	5.1	2.0
ESX	QXE10D2	loudspeakerdatabase.com/ESX/QXE10D2	Subwoofer	10	250	85.1	37.9	5.07	0.39	0.37	10.0	600	1200	2	3.8	2.24	332.0	196	191.4	91	14.2	9.21
ESX	QXE12D2	loudspeakerdatabase.com/ESX/QXE12D2	Subwoofer	12	300	86.2	34.0	5.29	0.38	0.36	14.0	1000	2000	2	3.8	2.63	510.0	319	310.4	68	25	12.88
ESX	QXE15D2	loudspeakerdatabase.com/ESX/QXE15D2	Subwoofer	15	380	89.0	32.0	5.68	0.43	0.40	14.0	1500	3000	2	3.8	2.68	820.0	359	342.1	66	63.3	12.71
ESX	QXE6D2	loudspeakerdatabase.com/ESX/QXE6D2	Subwoofer	6.5	165	79.8	50.4	5.21	0.47	0.43	10.0	250	500	2	3.8	1.93	120.0	91.5	90.4	157	3.2	5.56
ESX	QXE8D2	loudspeakerdatabase.com/ESX/QXE8D2	Subwoofer	8	200	83.8	42.7	4.48	0.34	0.32	10.0	400	800	2	3.8	2.26	214.0	133.1	130.7	99	6.4	7.97
ESX	SX1040	loudspeakerdatabase.com/ESX/SX1040	Subwoofer	10	250	87.0	29.0	5.30	0.34	0.32	8.5	400	800	4	3.2	1.1	332.0	99	94.5	301	47	3.4
ESX	SX1240	loudspeakerdatabase.com/ESX/SX1240	Subwoofer	12	300	88.1	28.0	5.30	0.37	0.35	8.5	500	1000	4	3.2	1.1	505.0	142	133.7	224	81	4.71
ESX	SX840	loudspeakerdatabase.com/ESX/SX840	Subwoofer	8	200	86.0	35.0	4.90	0.41	0.38	3.5	300	600	4	3.2	1.1	214.0	53	50.6	385	25	2.38
ESX	VE1522	loudspeakerdatabase.com/ESX/VE1522	Subwoofer	15	380	89.9	35.0	5.25	0.43	0.40	17.5	4000	8000	2	4.0	2.2	844.0	322	304.5	63	64	13.49
ESX	VX10PRO	loudspeakerdatabase.com/ESX/VX10PRO	Subwoofer	10	250	82.5	46.0	3.89	0.59	0.51	23.0	2500	5000	2	3.8		325.0	286	281.6	41	6.2	21.25
ESX	VX12PRO	loudspeakerdatabase.com/ESX/VX12PRO	Subwoofer	12	300	84.5	39.0	3.95	0.61	0.52	23.0	3000	6000	2	4.0	1.52	512.0	340	331.6	48	18	21.09
ESX	VX15PRO	loudspeakerdatabase.com/ESX/VX15PRO	Subwoofer	15	380	86.7	33.0	3.26	0.65	0.54	23.0	3500	7000	2	4.0	2.15	810.0	396	379.4	58	54	25.19
ESX	VX21PRO	loudspeakerdatabase.com/ESX/VX21PRO	Subwoofer	21	530	91.0	27.4	6.51	0.64	0.58	23.0	6000	12000	2	3.6	1.45	1662.0	487	439.4	68	265.9	12.88
ESX	VXP104	loudspeakerdatabase.com/ESX/VXP104	Shallow_subwoofer	10	250	84.7	31.0	6.28	0.68	0.61	12.0	400	800	4	3.8	1.64	377.0	128.9	123.7	209	42.17	4.0
ESX	VXP84	loudspeakerdatabase.com/ESX/VXP84	Shallow_subwoofer	8	200	84.2	36.0	7.53	0.54	0.50	12.0	300	600	4	3.8	1.52	227.0	76.5	74	258	18.86	2.3
ETON	11-612C8/50RP	loudspeakerdatabase.com/ETON/11-612C8-50RP	Woofer	11	280	89.6	23.0	7.87	0.30	0.29	5.0	120	240	8	5.3	1.03	366.0	54	48.7	810	152	0.99
ETON	12-612C8/62RP	loudspeakerdatabase.com/ETON/12-612C8-62RP	Woofer	12	331	91.4	28.0	5.16	0.34	0.32	8.5	150	300	8	6.2	1.6	515.0	78	69.2	360	134	2.66
ETON	4-512/C8/25RP	loudspeakerdatabase.com/ETON/4-512-C8-25RP	Mid-range	4	122	88.9	78.0	6.65	0.34	0.32	2.0	40	80	8	5.8	0.35	55.0	4.5	4.2	860	3.7	0.33
ETON	4-612/C8/25RP	loudspeakerdatabase.com/ETON/4-612-C8-25RP	Mid-range	4	122	87.5	66.0	6.78	0.34	0.32	2.0	40	80	8	5.8	0.36	55.0	5.4	5.1	1000	4.2	0.33
ETON	5-512/C8/25RP	loudspeakerdatabase.com/ETON/5-512-C8-25RP	Mid-range	5	148	88.9	57.0	8.19	0.35	0.34	2.0	50	100	8	5.4	0.48	80.0	6.7	6.1	1120	10.1	0.29
ETON	5-612/C8/25RP	loudspeakerdatabase.com/ETON/5-612-C8-25RP	Woofer	5	148	87.6	53.0	7.89	0.38	0.36	2.5	50	100	8	5.4	0.44	80.0	7.8	7.2	1090	9.8	0.33
ETON	7-512/C8/32RP	loudspeakerdatabase.com/ETON/7-512-C8-32RP	Mid-range	7	181	88.3	36.0	5.24	0.38	0.35	5.5	80	160	8	6.5	0.81	137.0	13.5	12.2	1420	37.3	0.58
ETON	7-612/C8/32RP	loudspeakerdatabase.com/ETON/7-612-C8-32RP	Mid-range	7	181	87.8	34.0	5.95	0.32	0.30	4.5	80	160	8	6.5	0.81	137.0	17.3	16	1070	28	0.62
ETON	8-612/C8/32RP	loudspeakerdatabase.com/ETON/8-612-C8-32RP	Woofer	8	223	88.8	24.0	6.67	0.32	0.30	4.5	80	160	8	6.6	0.99	222.0	26.3	23.8	1480	100	0.59
Eminence	620H	loudspeakerdatabase.com/Eminence/620H	Guitar Speaker	6	165	95.4	114	5.50	0.54	0.49	0.4	20	40	4	3.9	0.25	139.7	6	4.8	320	8.67	0.78
Eminence	820H	loudspeakerdatabase.com/Eminence/820H	Guitar Speaker	8	203	96.8	144	18.78	0.92	0.88	1.59	20	40	4	3.6	0.33	230.9	9	6.5	130	9.62	0.43
Eminence	ALPHA 2-8	loudspeakerdatabase.com/Eminence/ALPHA_2-8	Full-range	2	51	81.5	186	3.06	0.94	0.72	1.7	20	30	8	6.4	0.13	12.4	1	1	840	0.18	0.38
Eminence	ALPHA 3-16	loudspeakerdatabase.com/Eminence/ALPHA_3-16	Full-range	3	76	86.1	112	5.89	0.66	0.59	2.7	35	70	16	10.5	0.14	28.6	2	1.9	930	1.05	0.24
Eminence	ALPHA 3-32	loudspeakerdatabase.com/Eminence/ALPHA_3-32	Full-range	3	101	85.3	117	5.87	0.85	0.74	2.6	35	70	32	22.4	0.23	28.6	2	1.9	860	0.98	0.25
Eminence	ALPHA 3-8	loudspeakerdatabase.com/Eminence/Alpha_3-8	Full-range	3	76	87.1	118	7.94	0.53	0.50	2.4	30	60	8	5.1	0.11	28.6	2	1.9	840	0.95	0.19
Eminence	ALPHA 4-4	loudspeakerdatabase.com/Eminence/Alpha_4-4	Mid-range	4	102	87.5	120	6.41	0.70	0.63	2.6	55	110	4	3.4	0.18	57.7	5	4.7	380	1.76	0.59
Eminence	ALPHA 4-8	loudspeakerdatabase.com/Eminence/Alpha_4-8	Mid-range	4	102	88.1	123	6.83	0.84	0.75	2.6	55	110	8	6.7	0.28	57.7	4	3.7	420	1.94	0.45
Eminence	ALPHA 5-8	loudspeakerdatabase.com/Eminence/ALPHA_5-8	Mid Bass	5	127	90.2	87.0	11.81	0.56	0.54	5.92	125	250	8	5.0	0.29	102.6	8	7.2	420	6.14	0.37
Eminence	ALPHA-10A	loudspeakerdatabase.com/Eminence/ALPHA-10A	Mid Bass	10	254	93.0	50.0	5.21	0.66	0.59	3.2	150	300	8	5.3	0.66	355.4	22	17.2	460	82.2	1.33
Eminence	ALPHA-12A	loudspeakerdatabase.com/Eminence/ALPHA-12A	Mid Bass	12	305	93.4	49.0	6.53	0.88	0.77	2.4	150	300	8	6.3	0.79	519.5	33	24.5	320	121.5	1.56
Eminence	ALPHA-15A	loudspeakerdatabase.com/Eminence/ALPHA-15A	Bass Guitar Speaker	15	381	94.3	41.0	7.23	1.53	1.26	3.8	200	400	8	5.9	0.84	856.3	59	41.7	250	260	2.1
Eminence	ALPHA-6A	loudspeakerdatabase.com/Eminence/ALPHA-6A	Mid Bass	6	165	94.8	103	5.68	0.60	0.54	3.5	100	200	8	7.2	0.19	126.7	7	5.9	260	5.8	0.8
Eminence	ALPHA-6C	loudspeakerdatabase.com/Eminence/ALPHA-6C	Mid Bass	6	165	93.1	107	6.12	0.49	0.45	3.5	100	200	4	3.2	0.28	126.7	9	7.9	240	5.7	0.99
Eminence	ALPHA-8A	loudspeakerdatabase.com/Eminence/ALPHA-8A	Mid Bass	8	203	91.5	73.0	4.60	0.68	0.59	3.2	125	250	8	5.3	0.44	210.0	17	14.7	280	17.7	1.7
Eminence	ALPHALITE 6A	loudspeakerdatabase.com/Eminence/ALPHALITE_6A	Mid Bass	6	165	93.2	126	6.51	0.61	0.56	3.5	100	200	8	7.3	0.53	129.9	8	6.9	210	4.92	0.97
Eminence	BASSLITE S2010	loudspeakerdatabase.com/Eminence/BASSLITE_S2010	Bass Guitar Speaker	10	254	94.1	46.0	4.16	0.34	0.31	4.0	150	300	8	5.0	0.47	350.1	33	28.3	360	63.4	2.29
Eminence	BASSLITE S2012	loudspeakerdatabase.com/Eminence/BASSLITE_S2012	Bass Guitar Speaker	12	305	94.9	48.0	5.50	0.53	0.48	5.2	150	300	8	5.1	0.43	519.5	46	37.7	240	90.6	2.52
Eminence	BASSLITE SC10-16	loudspeakerdatabase.com/Eminence/BASSLITE_SC10-16	Bass Guitar Speaker	10	254	93.3	46.0	2.23	0.56	0.45	4.4	150	300	16	12.2	0.89	350.1	26	21.3	460	78.27	3.37
Eminence	BASSLITE SC10-32	loudspeakerdatabase.com/Eminence/BASSLITE_SC10-32	Bass Guitar Speaker	10	254	94.0	47.0	7.10	0.59	0.55	4.4	100	200	32	25.1	1.46	350.1	24	19.3	470	79.97	1.0
Eminence	BETA-10A	loudspeakerdatabase.com/Eminence/BETA-10A	Bass Guitar Speaker	10	254	93.6	53.0	8.14	0.52	0.49	3.0	250	500	8	5.8	0.67	344.9	25	20.4	360	60.1	1.02
Eminence	BETA-10CX	loudspeakerdatabase.com/Eminence/BETA-10CX	Coaxial	10	254	93.6	49.0	6.16	0.41	0.38	5.0	250	500	8	5.5	0.67	344.9	29	24.4	370	61.1	1.45
Eminence	BETA-12A-2	loudspeakerdatabase.com/Eminence/BETA-12A-2	Bass Guitar Speaker	12	305	95.1	47.0	6.00	0.50	0.46	4.4	250	500	8	5.0	0.64	538.9	40	31.3	290	120.1	1.97
Eminence	BETA-12CX	loudspeakerdatabase.com/Eminence/BETA-12CX	Coaxial	12	305	95.4	47.0	5.64	0.52	0.48	3.5	250	500	8	5.4	0.64	538.9	38	29.3	300	120.94	1.99
Eminence	BETA-12LTA	loudspeakerdatabase.com/Eminence/BETA-12LTA	Woofer	12	305	95.3	45.0	6.44	0.55	0.51	3.2	225	450	8	7.4	0.83	532.4	36	27.4	340	136.3	1.58
Eminence	BETA-15A	loudspeakerdatabase.com/Eminence/BETA-15A	Woofer	15	381	94.6	35.0	8.10	0.63	0.58	4.0	300	600	8	6.3	1.1	823.7	60	43.4	350	334.6	1.63
Eminence	BETA-6A	loudspeakerdatabase.com/Eminence/BETA-6A	Mid-range	6	165	91.7	123	3.46	0.66	0.56	4.5	175	350	8	5.2	0.43	129.9	11	9.9	150	3.51	2.46
Eminence	BETA-8A	loudspeakerdatabase.com/Eminence/BETA-8A	Mid Bass	8	203	93.2	65.0	4.95	0.42	0.38	3.0	225	450	8	6.0	0.49	210.0	16	13.7	370	23.3	1.32
Eminence	BETA-8CX	loudspeakerdatabase.com/Eminence/BETA-8CX	Coaxial	8	203	93.5	62.0	6.57	0.31	0.29	3.2	250	500	8	5.4	0.67	210.0	19	16.7	350	21.43	1.13
Eminence	BIG BEN	loudspeakerdatabase.com/Eminence/BIG_BEN	Guitar Speaker	15	381	100.6	85.0	10.63	1.04	0.94	0.1	225	450	8	6.1	0.51	856.3	47	29.7	80	77.7	2.36
Eminence	CANNABIS REX	loudspeakerdatabase.com/Eminence/CANNABIS_REX	Guitar Speaker	12	305	101.7	96.0	9.28	0.69	0.64	0.8	50	100	8	6.6	0.44	532.4	24	15.4	110	45.48	1.56
Eminence	CANNABIS REX 10	loudspeakerdatabase.com/Eminence/CANNABIS_REX_10	Guitar Speaker	10	254	99.6	130	15.40	0.60	0.58	0.79	50	100	8	6.4	0.49	366.1	20	15.1	70	13.02	1.06
Eminence	CANNABIS REX 16	loudspeakerdatabase.com/Eminence/CANNABIS_REX_16	Guitar Speaker	12	305	100.6	101	9.95	0.82	0.75	0.8	50	100	16	13.1	0.75	532.4	27	18.4	90	36.4	1.72
Eminence	CV-65	loudspeakerdatabase.com/Eminence/CV-65	Guitar Speaker	12	305	99.6	76.0	19.85	0.60	0.59	1.23	65	130	8	6.9	0.53	532.4	29	20.4	150	59.03	0.7
Eminence	CV-75	loudspeakerdatabase.com/Eminence/CV-75	Guitar Speaker	12	305	101.4	79.0	15.07	0.43	0.42	1.23	75	150	8	6.9	0.52	519.5	28	19.6	140	52.45	0.92
Eminence	CV-7516	loudspeakerdatabase.com/Eminence/CV-7516	Guitar Speaker	12	305	101.1	80.0	21.33	0.49	0.48	1.23	75	150	16	14.2	0.85	519.5	28	19.6	150	56.2	0.66
Eminence	DEFINIMAX 4012HO	loudspeakerdatabase.com/Eminence/DEFINIMAX_4012HO	Mid Bass	12	305	94.3	51.0	11.03	0.36	0.35	6.2	600	1200	8	5.5	0.95	545.4	78	69	130	53.68	2.27
Eminence	DEFINIMAX 4012ULF-8	loudspeakerdatabase.com/Eminence/DEFINIMAX_4012ULF-8	Subwoofer	12	305	91.3	40.0	12.13	0.32	0.31	6.7	1200	2400	8	6.2	4.32	545.4	153	144	100	41.3	3.17
Eminence	DEFINIMAX 4015LF	loudspeakerdatabase.com/Eminence/DEFINIMAX_4015LF	Subwoofer	15	381	93.0	40.0	11.94	0.54	0.52	9.0	1200	2400	8	5.2	1.48	856.3	137	119.6	110	111.97	2.88
Eminence	DEFINIMAX 4015ULF-8	loudspeakerdatabase.com/Eminence/DEFINIMAX_4015ULF-8	Subwoofer	15	381	93.6	38.0	10.27	0.35	0.34	7.3	1200	2400	8	6.2	4.43	856.3	173	155.6	100	101.79	4.02
Eminence	DEFINIMAX 4018LF	loudspeakerdatabase.com/Eminence/DEFINIMAX_4018LF	Subwoofer	18	457	94.3	30.0	11.95	0.35	0.34	8.57	1200	2400	8	6.1	4.54	1188.0	217	188.5	130	254.71	3.42
Eminence	DELTA 15LF-4	loudspeakerdatabase.com/Eminence/DELTA-15LF-4	Bass Guitar Speaker	15	381	95.6	40.0	6.22	0.53	0.49	5.97	600	1200	4	3.4	0.76	873.0	66	48.3	240	253.93	2.67
Eminence	DELTA PRO 12-450-4	loudspeakerdatabase.com/Eminence/DELTA_PRO_12-450-4	Woofer	12	305	96.4	45.0	7.97	0.41	0.39	5.2	450	900	4	3.7	0.45	532.4	36	27.2	350	137.73	1.28
Eminence	DELTA PRO 12-450A	loudspeakerdatabase.com/Eminence/DELTA_PRO_12-450A	Woofer	12	305	97.1	44.0	7.59	0.39	0.37	5.1	375	750	8	5.0	0.54	532.4	36	27.2	360	141.66	1.31
Eminence	DELTA PRO-12A	loudspeakerdatabase.com/Eminence/DELTA_PRO-12A	Woofer	12	305	95.8	51.0	7.56	0.37	0.35	4.6	400	800	8	5.7	0.84	532.4	48	39.2	210	81.7	2.03
Eminence	DELTA PRO-15A	loudspeakerdatabase.com/Eminence/DELTA_PRO-15A	Subwoofer	15	381	98.1	42.0	4.73	0.44	0.40	4.3	400	800	8	5.7	0.83	856.3	61	43.5	240	243.5	3.4
Eminence	DELTA PRO-18A	loudspeakerdatabase.com/Eminence/DELTA_PRO-18A	Subwoofer	18	457	95.9	28.0	10.38	0.33	0.32	6.7	500	1000	8	5.3	3.43	1188.0	128	99.5	250	493.2	2.17
Eminence	DELTA PRO-18C	loudspeakerdatabase.com/Eminence/DELTA_PRO-18C	Subwoofer	18	457	95.7	27.0	13.24	0.32	0.32	6.7	500	1000	4	3.8	2.65	1188.0	137	108.5	250	488.8	1.76
Eminence	DELTA PRO-8A	loudspeakerdatabase.com/Eminence/DELTA_PRO-8A	Mid-range	8	203	95.8	69.0	6.43	0.22	0.22	3.0	225	450	8	5.4	0.82	218.2	19	16.4	280	18.32	1.28
Eminence	DELTA PRO-8B	loudspeakerdatabase.com/Eminence/DELTA_PRO-8B	Mid-range	8	203	95.6	71.0	7.47	0.27	0.27	3.0	225	450	16	10.5	0.9	218.9	18	15.4	270	18.28	1.07
Eminence	DELTA-10A	loudspeakerdatabase.com/Eminence/DELTA-10A	Bass Guitar Speaker	10	254	95.3	66.0	6.53	0.35	0.33	3.5	350	700	8	5.4	0.74	344.9	32	27.4	180	30.5	2.03
Eminence	DELTA-10B	loudspeakerdatabase.com/Eminence/DELTA-10B	Bass Guitar Speaker	10	254	96.6	65.0	8.34	0.35	0.33	3.5	350	700	16	11.6	0.79	344.9	28	23.4	210	36	1.37
Eminence	DELTA-12A	loudspeakerdatabase.com/Eminence/DELTA-12A	Mid Bass	12	305	96.2	55.0	5.27	0.46	0.43	2.4	400	800	8	6.3	0.74	519.5	39	30.7	210	81.3	2.56
Eminence	DELTA-12B	loudspeakerdatabase.com/Eminence/DELTA-12B	Mid Bass	12	305	98.3	58.0	7.04	0.52	0.48	2.7	400	800	16	11.4	0.77	519.5	32	23.7	230	87	1.66
