Brand	Model	URL	Type	Nominal diameter [″]	Nominal diameter [mm]	SPL 1W [dB]	fs [Hz]	Qms	Qes	Qts	xmax [mm]	Power [W]	Pmax [W]	Z [Ω]	Re [Ω]	Le [mH]	Sd [cm²]	Mms [g]	Mmd [g]	Cms [µm/N]	Vas [L]	Rms [N·s/m]
Eighteen Sound	12MB1000	loudspeakerdatabase.com/18Sound/12MB1000	Mid Bass	12	315	97.9	54.0	6.00	0.20	0.18	2.5	600	800	8	5.8	1.46	531.0	55.5	46.7	157	60	3.14
Eighteen Sound	12MB600	loudspeakerdatabase.com/18Sound/12MB600	Woofer	12	315	97.5	46.0	4.89	0.19	0.19	4.5	450	600	4	2.7	0.45	531.0	56	47.2	214	86	3.31
Eighteen Sound	12MB600 8Ω	loudspeakerdatabase.com/18Sound/12MB600_8Ω	Woofer	12	315	98.1	44.0	3.90	0.19	0.18	4.5	450	600	8	5.0	1.32	531.0	43	34.2	304	115	3.05
Eighteen Sound	12MB650	loudspeakerdatabase.com/18Sound/12MB650	Subwoofer	12	300	97.5	48.0	3.20	0.24	0.23	5.5	400	800	8	6.0	0.83	531.0	48	39.4	229	90	4.52
Eighteen Sound	12MB700	loudspeakerdatabase.com/18Sound/12MB700	Woofer	12	300	98.7	49.0	4.70	0.20	0.19	4.5	450	600	8	5.0	0.9	531.0	41	32.2	257	101	2.69
Eighteen Sound	12MB700 16Ω	loudspeakerdatabase.com/18Sound/12MB700_16Ω	Woofer	12	300	96.9	46.0	7.27	0.26	0.25	4.5	450	600	16	9.5	1.84	531.0	46	37.2	260	100	1.83
Eighteen Sound	12MB710	loudspeakerdatabase.com/18Sound/12MB710	Subwoofer	12	310	97.2	46.0	10.30	0.20	0.20	5.0	500	1000	8	5.0	0.79	531.0	59	50.4	203	81	1.66
Eighteen Sound	12MB777	loudspeakerdatabase.com/18Sound/12MB777	Woofer	12	300	98.7	49.0	4.70	0.20	0.19	4.5	450	600	8	5.0	0.9	531.0	41	32.2	257	101	2.69
Eighteen Sound	12NCX750	loudspeakerdatabase.com/18Sound/12NCX750	Coaxial	12	300	97.6	58.0	6.42	0.31	0.29	5.5	400	800	8	5.4	0.62	531.0	48	39.4	157	63	2.72
Eighteen Sound	12NCX750H	loudspeakerdatabase.com/18Sound/12NCX750H	Coaxial	12	300	97.8	58.0	6.42	0.31	0.29	5.5	400	800	8	5.4	0.62	531.0	47	38.4	160	63	2.67
Eighteen Sound	12NCX910	loudspeakerdatabase.com/18Sound/12NCX910	Coaxial	12	300	96.8	57.0	10.00	0.31	0.30	6.9	450	900	8	5.3	0.78	531.0	53	44.4	147	58	1.9
